일자,지점명,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 전운량(1/10),발전량
2019-09-01,보성군,19,25.4,4,1.2,9.9,128
2019-09-02,보성군,19.3,23,39.5,1.1,8.8,76.3
2019-09-03,보성군,21.3,25.2,19,1.6,10,147.1
2019-09-04,보성군,22.7,26,17.5,2.1,9.5,79.1
2019-09-05,보성군,23.3,28.2,2.5,1.8,8.6,194.7
2019-09-06,보성군,22.2,28.8,8,3.3,9.3,179.3
2019-09-07,보성군,21.7,27.1,26,7.8,8,128.7
2019-09-08,보성군,20.7,27.5,1,0.9,8.6,208.3
2019-09-09,보성군,22.8,29.9,14.5,2.8,9,192.2
2019-09-10,보성군,22.8,29.3,,2,5.5,345.5
2019-09-11,보성군,22.8,29,1.5,2,7.4,328.1
2019-09-12,보성군,19.4,25,1.5,2.9,8.5,184.5
2019-09-13,보성군,18.9,27.5,,2,5.1,533.3
2019-09-14,보성군,16.8,30.3,,2.1,3.1,529.2
2019-09-15,보성군,20.7,28.8,,1.7,6.9,389.1
2019-09-16,보성군,20.3,28.4,2,2,6.9,355.1
2019-09-17,보성군,15.5,27.7,,1.8,2.4,547.8
2019-09-18,보성군,16.5,29.3,,3.1,3.5,521.8
2019-09-19,보성군,14,25.9,,2.5,1.9,531.3
2019-09-20,보성군,15,25.6,,3.2,7.5,448
2019-09-21,보성군,17.2,20.4,71.5,3.6,9.9,38.5
2019-09-22,보성군,17.9,21.7,48.5,4.9,9.3,40.3
2019-09-23,보성군,14.8,22.6,0.2,2.7,3.3,287.5
2019-09-24,보성군,11.5,24.7,,2.1,2.6,521.1
2019-09-25,보성군,12.4,25.2,,1.7,6.6,402.5
2019-09-26,보성군,15,26.8,,2.3,6.1,461.1
2019-09-27,보성군,17.3,25.6,8,1.6,5.4,198.6
2019-09-28,보성군,20.8,26.7,1,1.4,7.8,235.8
2019-09-29,보성군,21.1,29.8,,1.4,4.9,397.8
2019-09-30,보성군,20.8,27.2,,1.4,6.6,193
2019-10-01,보성군,19.3,22.7,48.5,1.7,10,56.3
2019-10-02,보성군,19.3,24.1,162.5,5.3,10,13.6
2019-10-03,보성군,19.6,27.1,0.3,4.6,3.4,385.5
2019-10-04,보성군,16.5,27.1,,2,6.8,0
2019-10-05,보성군,16.2,22.9,,4,7.1,285.2
2019-10-06,보성군,15.3,22.7,0.1,3.2,7.5,451
2019-10-07,보성군,15.8,18.2,6.5,2.2,9.4,49.8
2019-10-08,보성군,9.9,23.1,,4,4.3,428.1
2019-10-09,보성군,8.7,21.9,,2.4,1.4,544
2019-10-10,보성군,7.5,23.6,,1.9,6.1,523.7
2019-10-11,보성군,11.4,26.2,,1.8,2.7,510.2
2019-10-12,보성군,11.3,25.2,,2,1.6,503.7
2019-10-13,보성군,8.8,22.6,,2.1,0,527.4
2019-10-14,보성군,9.8,23.6,,3.6,0.9,471.3
2019-10-15,보성군,10.3,18.9,,2.7,4.8,179.1
2019-10-16,보성군,7.7,20,,2.1,4.4,474
2019-10-17,보성군,8.9,21,,2.1,7.8,307.8
2019-10-18,보성군,12.1,19.3,,1.3,8.8,64.6
2019-10-19,보성군,14,24.3,,2.7,1.6,510.8
2019-10-20,보성군,10.8,23.4,,2,5.1,430
2019-10-21,보성군,11.3,22.8,,2.2,4.4,495
2019-10-22,보성군,10,23.5,,2,6,467.6
2019-10-23,보성군,13.9,21.5,,2.1,8.3,207.4
2019-10-24,보성군,12.4,24.1,,1.8,5.8,282.3
2019-10-25,보성군,10.8,24.5,,2.3,5.8,409.3
2019-10-26,보성군,11.4,17.9,,4.8,6.6,470.5
2019-10-27,보성군,6.8,18.5,,3.4,3.6,411.3
2019-10-28,보성군,4.6,18,,2.1,6.8,461
2019-10-29,보성군,7.2,20.2,,3.3,1,412.4
2019-10-30,보성군,7.9,19.4,,3.9,0,509
2019-10-31,보성군,4.5,21.3,,3.2,1.5,496.3
2019-11-01,보성군,10.7,24.2,,2.6,2.5,421.8
2019-11-02,보성군,7.5,21,,1.6,6,340.9
2019-11-03,보성군,8.8,22.8,,2.1,5.1,341.6
2019-11-04,보성군,8.6,19.4,0.5,1.8,5.6,327.6
2019-11-05,보성군,9.8,20.6,,2.8,1.8,443.1
2019-11-06,보성군,7.7,21.4,,2.9,3.8,460.9
2019-11-07,보성군,9.3,18.8,,4.1,6.1,385.7
2019-11-08,보성군,6.9,16.6,,4.4,0.5,508.1
2019-11-09,보성군,5.7,19.7,,3.7,0.1,484
2019-11-10,보성군,1.9,16.8,7.5,2.1,7.7,219.4
2019-11-11,보성군,8.6,18,,4.1,3.4,360.5
2019-11-12,보성군,6.5,17.2,,2.4,3.5,394.8
2019-11-13,보성군,4.5,15.8,0,2.6,6.4,107.2
2019-11-14,보성군,-0.2,11.3,,4,1.5,495.9
2019-11-15,보성군,-2.1,16.1,,2,0.8,442.8
2019-11-16,보성군,2,19.6,,1.6,4.3,361.5
2019-11-17,보성군,7.4,20.8,0.5,2.2,9.5,72.5
2019-11-18,보성군,5.7,19.9,17,6.9,7.8,96.8
2019-11-19,보성군,2.2,9,,4.8,4,298.6
2019-11-20,보성군,-0.6,11.8,,2.8,0.1,483.3
2019-11-21,보성군,-2.1,14.2,,2.4,4.4,405.6
2019-11-22,보성군,3.5,18.1,,2.3,1.6,417.3
2019-11-23,보성군,3.9,19.1,,2.2,2.8,429.2
2019-11-24,보성군,11.8,21.2,0.5,2.6,7.3,224.6
2019-11-25,보성군,4.2,12,,4.8,8.5,133.3
2019-11-26,보성군,1.3,14.6,,2.6,5.3,240.2
2019-11-27,보성군,6.1,10.3,0,3.7,9.8,85.6
2019-11-28,보성군,3,15.2,,3.6,3.8,362.7
2019-11-29,보성군,1.5,12.8,,4.6,0.5,468.3
2019-11-30,보성군,-3.1,15.2,0.5,1.8,4.4,419.2
2019-12-01,보성군,6.8,8.9,19.5,2.9,9.1,49.2
2019-12-02,보성군,3.8,8.7,,5.9,5.5,315.2
2019-12-03,보성군,0.1,9.4,,2.9,3.5,243.5
2019-12-04,보성군,-1.8,12.2,,2.3,2.8,376.6
2019-12-05,보성군,-1.6,7.8,,4,1.4,425
2019-12-06,보성군,-2.9,4.4,,4.3,3.5,439.2
2019-12-07,보성군,-2.6,9.4,,4.2,0.1,316.2
2019-12-08,보성군,-0.1,11.1,,3.1,0.6,411.5
2019-12-09,보성군,-4.4,12.1,,2.2,0.1,298.3
2019-12-10,보성군,-1.5,15.2,,1.4,4.4,252.8
2019-12-11,보성군,1.5,17.4,,3.7,3.9,185.3
2019-12-12,보성군,0.1,9.3,,4,0.4,433
2019-12-13,보성군,-5.1,9.8,,1.7,5.4,322.6
2019-12-14,보성군,0,11.4,,3.3,5.1,408.1
2019-12-15,보성군,-2.5,14.3,,2.3,4.4,358.4
2019-12-16,보성군,1,14.9,,1.8,3.4,297.6
2019-12-17,보성군,2,12.8,,2.8,9,53.5
2019-12-18,보성군,3.2,9.8,,5.7,6,318.3
2019-12-19,보성군,0.5,9.1,,5.4,6,402.4
2019-12-20,보성군,-3.1,8,,3,7.8,271
2019-12-21,보성군,-2,6.4,,1.9,6.9,157.9
2019-12-22,보성군,-1.3,10.5,,1.6,5.8,222.3
2019-12-23,보성군,-2.8,10.8,0,4.1,3.4,199.4
2019-12-24,보성군,-2.6,11.4,,2.2,4.3,370
2019-12-25,보성군,-3.7,14.2,,1.8,4.9,316.3
2019-12-26,보성군,4.1,8.3,0.3,4.3,7.8,59.5
2019-12-27,보성군,-2.8,7.4,,5,2.9,351.5
2019-12-28,보성군,-5.3,8.3,,2.4,0.4,382.6
2019-12-29,보성군,-3.4,7.1,8.6,1.9,9.6,86.3
2019-12-30,보성군,3,12.6,,3.2,6.9,109.5
2019-12-31,보성군,-3.8,3,,6.8,2.7,423
2020-01-01,보성군,-4.2,6.3,,4.5,1.5,444.2
2020-01-02,보성군,-1.7,9.2,,3.9,1.7,355.6
2020-01-03,보성군,1.4,10.1,,4,0.8,370.7
2020-01-04,보성군,-0.2,10.2,,3.7,3.8,360.8
2020-01-05,보성군,-4,10.8,,2.1,3.9,386.3
2020-01-06,보성군,3.2,8.4,19.3,2,10,17.2
2020-01-07,보성군,8.3,17,32.4,2.2,8,23.3
2020-01-08,보성군,4.5,12.8,0,7.6,9.3,29.7
2020-01-09,보성군,1.4,7.7,,4.7,7.3,256.2
2020-01-10,보성군,-1.4,9,,3,4.3,429
2020-01-11,보성군,1.1,10.3,,4.7,5.8,400.5
2020-01-12,보성군,2.3,6.8,,5.6,6.6,355.6
2020-01-13,보성군,0.1,6.5,,4.8,6.6,280.6
2020-01-14,보성군,-1.7,7,,2.6,5.6,210.8
2020-01-15,보성군,-1.9,6.3,,3.8,3.3,444.8
2020-01-16,보성군,-1,7.8,,3,8.8,412.8
2020-01-17,보성군,0.7,9.2,,4,4.9,351
2020-01-18,보성군,-0.2,9.4,,5,0.5,488.2
2020-01-19,보성군,-0.6,7.9,,3.2,5.6,83
2020-01-20,보성군,-1.1,8.9,,4.4,2.6,390.9
2020-01-21,보성군,-0.9,8.8,,3,2.6,490.5
2020-01-22,보성군,0.7,7.5,15.2,1,9.6,16.7
2020-01-23,보성군,6.6,11.7,1.9,2.2,9.4,137.8
2020-01-24,보성군,4.1,13.1,,3,7.5,381.6
2020-01-25,보성군,4.4,11.2,,2,10,90.7
2020-01-26,보성군,3,11.9,0,4.2,9.6,169.3
2020-01-27,보성군,5.8,9,16.2,5.4,7.8,23.1
2020-01-28,보성군,4.8,11.8,,2.6,6.5,227.6
2020-01-29,보성군,5,9.2,0.2,2.3,7.8,78.2
2020-01-30,보성군,3.3,10.5,,4.1,5.8,250.9
2020-01-31,보성군,-0.6,9.1,,4.3,4,273.2
2020-02-01,보성군,-1.3,9.6,,3.6,2.5,396.3
2020-02-02,보성군,-1.2,9.7,,4.1,4.5,451.1
2020-02-03,보성군,-0.7,7.9,,4.4,3.3,437.3
2020-02-04,보성군,-2.4,9.3,,3.8,0,549.5
2020-02-05,보성군,-4.4,3.8,,5.5,1.1,577.9
2020-02-06,보성군,-5.8,5.5,,3.1,5,429.5
2020-02-07,보성군,-2.5,8.5,,3.7,5.5,409.9
2020-02-08,보성군,-0.4,7.7,,4.6,2.9,341
2020-02-09,보성군,-3.1,8.2,,4,0.1,535.9
2020-02-10,보성군,-1.9,13.2,,3,2.9,371.2
2020-02-11,보성군,-3.5,13.7,0.4,1.5,6.8,249.4
2020-02-12,보성군,7.8,12.7,23.6,2.6,9.4,45.8
2020-02-13,보성군,3.9,13.7,,2.9,7.3,278
2020-02-14,보성군,2.7,16.7,,1.8,4.1,521.6
2020-02-15,보성군,3.2,16.9,1.6,2.3,8,267
2020-02-16,보성군,-0.2,10.9,4,8.2,8.3,131.7
2020-02-17,보성군,-2.4,1.6,1.7,7.6,6.9,252.7
2020-02-18,보성군,-2.3,6.7,,5.9,1.1,600.7
2020-02-19,보성군,-0.8,11.9,,4.2,6.3,482.5
2020-02-20,보성군,0.1,13.7,,2.2,3.1,533.7
2020-02-21,보성군,-1.9,15.3,0.9,1.9,5.9,423.1
2020-02-22,보성군,3.2,11.8,0.4,7,2.4,436.9
2020-02-23,보성군,-0.6,11.8,,3.4,0,595.5
2020-02-24,보성군,-3.5,15.3,0.2,1.7,4,433.4
2020-02-25,보성군,9.3,13,10.3,1.1,8.5,15.1
2020-02-26,보성군,3.9,15.6,,2.7,4.4,293.6
2020-02-27,보성군,1.8,11.5,,3.4,4.5,421.8
2020-02-28,보성군,3.9,8.6,1.8,2.2,8.8,50.7
2020-02-29,보성군,3.5,12.3,,1.5,5.9,121.8
2020-03-01,보성군,1.7,14.2,0,2.5,8.4,217.4
2020-03-02,보성군,1.7,12.7,,4.7,4.4,548.9
2020-03-03,보성군,-0.2,12.1,,2.6,8.8,237.8
2020-03-04,보성군,1.3,10.1,,6.9,5.6,583.1
2020-03-05,보성군,-0.7,10.7,,4.3,0.4,597.1
2020-03-06,보성군,-4.7,12.9,,2.6,2.5,591.5
2020-03-07,보성군,1.7,9.5,11.6,1.9,8.8,71.3
2020-03-08,보성군,0,15.8,,2.3,3.9,574.9
2020-03-09,보성군,1.8,13.4,9.5,2.4,9.1,105.8
2020-03-10,보성군,4.6,11.2,3.4,5.9,7.4,110.2
2020-03-11,보성군,0.4,11,,5.8,0,631.8
2020-03-12,보성군,-3.3,14.7,,2.7,1.6,592.9
2020-03-13,보성군,1.4,16.7,,3.9,7.8,512
2020-03-14,보성군,0.6,11.4,,5.1,1.6,631.3
2020-03-15,보성군,1.4,14.5,,6.8,2.3,565.4
2020-03-16,보성군,0.2,11.4,,4.2,2.1,595.4
2020-03-17,보성군,-1.8,19,,3.6,0.6,569.5
2020-03-18,보성군,-0.2,18.3,,2.5,2.8,588.5
2020-03-19,보성군,2.2,16.4,,5.7,3.9,513.1
2020-03-20,보성군,2.2,16.1,,4,0,593.8
2020-03-21,보성군,0.6,20.8,,2.4,2.4,516.1
2020-03-22,보성군,7.7,22.4,,3.9,3,500.7
2020-03-23,보성군,5.4,17.7,,5.5,0,601.5
2020-03-24,보성군,1.5,18.1,,3,0,565.2
2020-03-25,보성군,0.5,19.1,0.1,2.5,5.4,570.9
2020-03-26,보성군,10.3,15,32.5,2,10,33.8
2020-03-27,보성군,5.6,16,0.3,4.4,6.6,264.1
2020-03-28,보성군,5.3,11,,3.6,9,175.8
2020-03-29,보성군,1.2,15.1,,2.7,6.4,506.6
2020-03-30,보성군,5.5,17.4,,2.2,6.1,520.8
2020-03-31,보성군,2.2,19.5,,2.5,3.4,547.1
2020-04-01,보성군,7.1,18.6,0.5,6.3,4.3,424.8
2020-04-02,보성군,3.3,16.8,,3.3,3.4,523.2
2020-04-03,보성군,4.4,19.9,,3.7,1.8,582.7
2020-04-04,보성군,5.1,20.3,,5.6,0,604.3
2020-04-05,보성군,0.5,16.8,,4.4,0.9,631.8
2020-04-06,보성군,-1.8,18.2,,3.4,4.3,554.6
2020-04-07,보성군,4.6,20.8,,4.4,0.9,568
2020-04-08,보성군,4,18.7,,4.3,1.8,560.5
2020-04-09,보성군,1.9,17.6,,4.3,2,557.5
2020-04-10,보성군,7.4,12.7,,2.5,8.5,132.2
2020-04-11,보성군,6.5,10.9,14.6,1.6,9.6,137.4
2020-04-12,보성군,6.5,12.4,2.1,2.7,6.6,191.3
2020-04-13,보성군,2.8,16.3,,4.2,2.6,579.7
2020-04-14,보성군,3.2,22.2,,3.8,1.9,606.1
2020-04-15,보성군,3.9,19.6,,2.7,7.1,433.2
2020-04-16,보성군,2.2,18.9,,3.2,3.8,582.4
2020-04-17,보성군,10.2,14.8,37.5,2.6,6.3,62.2
2020-04-18,보성군,8.2,20,,4.2,5,578.8
2020-04-19,보성군,8.9,14,25.5,4.2,10,68.7
2020-04-20,보성군,9.3,18.6,,4.9,7.8,457.1
2020-04-21,보성군,6.9,16.1,,6.4,6.6,630.4
2020-04-22,보성군,3.7,13.8,,7,3.8,647.7
2020-04-23,보성군,3.9,15.1,,6.2,2.1,609
2020-04-24,보성군,2,17.3,,3.5,0,622.7
2020-04-25,보성군,1.9,21.6,,3.6,0.1,571.6
2020-04-26,보성군,6.6,20.6,,4.3,2.6,600.6
2020-04-27,보성군,3.7,20.3,,4,0.4,599.9
2020-04-28,보성군,5.2,21,,4.6,0,598.2
2020-04-29,보성군,4.6,23.5,,3.1,0,588.1
2020-04-30,보성군,2.8,22.7,,2.7,4.6,515.9
2020-05-01,보성군,13,25.2,,2.6,6.5,455.2
2020-05-02,보성군,13.1,22.1,0.6,2.1,8.6,236.6
2020-05-03,보성군,16.2,18,49.3,3.4,9.4,57.8
2020-05-04,보성군,15.1,27.9,,3.7,4.3,469.9
2020-05-05,보성군,13,20.1,0.1,2.1,9,182
2020-05-06,보성군,13.2,26,,2.6,2.9,567.9
2020-05-07,보성군,8.4,22.6,,3.9,2.9,583.3
2020-05-08,보성군,6.7,22.4,0.6,3.1,6.8,372.2
2020-05-09,보성군,14.1,20,92.3,3.8,9.9,83.1
2020-05-10,보성군,13.8,20.1,,4.1,5.4,334.3
2020-05-11,보성군,13.5,26.8,,,3.9,582.1
2020-05-12,보성군,11.7,24,,5.9,1.3,559.8
2020-05-13,보성군,7.9,24,,3.4,0.1,597.8
2020-05-14,보성군,8.6,24.4,0,1.9,6.9,418.6
2020-05-15,보성군,16.4,19.2,29,3.2,9.6,49.9
2020-05-16,보성군,16.2,25.3,0.9,2,7.5,394.8
2020-05-17,보성군,14.3,23.2,,2.1,6.6,350
2020-05-18,보성군,13.3,20.8,8.7,3.3,7.6,0
2020-05-19,보성군,11.5,18.6,0,4,7.1,262.1
2020-05-20,보성군,10.7,23.7,,3.4,4.8,482.4
2020-05-21,보성군,13.2,21.3,,3.3,7.4,379.6
2020-05-22,보성군,12.7,23,,3.6,3.6,523.1
2020-05-23,보성군,10.8,23.5,,2.5,3.6,519.8
2020-05-24,보성군,11.3,25.5,0.9,2.7,7.9,274.8
2020-05-25,보성군,15.8,23.9,,3.4,9.1,328.5
2020-05-26,보성군,15.4,26.1,,3.3,7.6,367.3
2020-05-27,보성군,16.1,27.5,,3.5,5.9,538.7
2020-05-28,보성군,11.4,26.8,,4.3,2.5,528.3
2020-05-29,보성군,14.6,26.4,,3.1,6.3,492.6
2020-05-30,보성군,15.2,25.3,,2.4,9.6,274.2
2020-05-31,보성군,16.8,22.5,12.5,2,8,262.9
2020-06-01,보성군,17.2,26.9,,4.1,4.1,583.9
2020-06-02,보성군,12.5,27.5,,2.5,3.4,554.1
2020-06-03,보성군,16.9,24.6,,1.6,8.4,196.5
2020-06-04,보성군,19.5,30.2,,2.4,5.3,556.9
2020-06-05,보성군,20.3,31.8,,3.1,6.8,468
2020-06-06,보성군,20.1,27.3,11.1,3,7.6,420.9
2020-06-07,보성군,18.5,27.6,,2.3,1.1,546.5
2020-06-08,보성군,16.1,30.2,,2.2,0.3,570.2
2020-06-09,보성군,16.3,31.3,,2.3,3.6,529.8
2020-06-10,보성군,20.3,30.9,3,2.4,6.1,447.6
2020-06-11,보성군,22.3,30.3,2.6,2.4,6.8,287.3
2020-06-12,보성군,22.4,29.9,63.1,2.2,8.9,0
2020-06-13,보성군,22.5,25.4,81.9,1.6,10,130.4
2020-06-14,보성군,22.2,27,11.9,2.9,8.6,187.9
2020-06-15,보성군,19.8,30.5,,4.1,5.9,572.3
2020-06-16,보성군,20.2,31.4,,3.9,6.1,584.4
2020-06-17,보성군,17.3,25.9,3.3,1.7,8.9,305.5
2020-06-18,보성군,17,19.9,81.4,2.3,9.8,81.3
2020-06-19,보성군,18.6,28.1,3,2.3,4.4,433.3
2020-06-20,보성군,20.8,26.8,,1.7,7,405.1
2020-06-21,보성군,20.7,27.3,,2.2,4,528.8
2020-06-22,보성군,19.2,29.6,,2.4,1.4,582.5
2020-06-23,보성군,17.2,29.6,,2.2,5.8,520.4
2020-06-24,보성군,22.1,24.9,52.2,3.1,9.3,83.4
2020-06-25,보성군,21.3,24.4,3.6,1.8,9.6,103.1
2020-06-26,보성군,20.8,30.2,,3,4.2,517
2020-06-27,보성군,19.6,28.8,,1.7,6.5,372.8
2020-06-28,보성군,21.4,32.1,,3.6,4,534.2
2020-06-29,보성군,20.1,24.2,100.1,4.8,8.5,69.8
2020-06-30,보성군,20,24,0.6,5.2,6.4,285.9
2020-07-01,보성군,19.8,28.6,,3.7,6.8,425.1
2020-07-02,보성군,18.6,27.4,,2.3,8.4,372.7
2020-07-03,보성군,19.1,21.9,14.7,2.4,9.8,148.1
2020-07-04,보성군,18.8,25.2,,1.5,9.6,214.1
2020-07-05,보성군,19.3,25.4,,1.6,8.3,257.3
2020-07-06,보성군,20.7,24.6,,1.5,8.9,112
2020-07-07,보성군,22.2,29.5,,2.3,4.8,482.5
2020-07-08,보성군,21.7,29.6,,2.6,7,489.8
2020-07-09,보성군,20.9,28,2.5,2.9,6.1,256.5
